identifier,n_code,Source,c_custodian,Topics,Keywords,Title,AltTitle,Abstract,Lineage,Exclue,SME_Reviewed,lvl1-001,lvl2-001,lvl3-001,lvl3-002,lvl3-003,lvl3-004,lvl3-005,lvl3-006,lvl3-007,lvl3-008,lvl3-009,lvl3-010,lvl3-011,lvl3-012,lvl3-013,lvl3-014,lvl3-015,lvl3-016,lvl3-017,lvl2-002,lvl3-018,lvl3-019,lvl3-020,lvl3-021,lvl2-003,lvl3-022,lvl3-023,lvl3-024,lvl3-025,lvl3-026,lvl3-027,lvl3-028,lvl3-029,lvl3-030,lvl3-031,lvl3-032,lvl3-033,lvl3-034,lvl3-200,lvl3-201,lvl2-004,lvl3-035,lvl3-036,lvl3-037,lvl3-038,lvl3-039,lvl3-040,lvl3-041,lvl3-042,lvl2-005,lvl3-043,lvl3-044,lvl3-045,lvl3-046,lvl3-047,lvl3-048,lvl1-002,lvl2-006,lvl3-049,lvl3-050,lvl3-051,lvl3-052,lvl2-007,lvl3-053,lvl3-054,lvl3-055,lvl3-056,lvl2-008,lvl3-057,lvl3-058,lvl3-059,lvl1-003,lvl2-009,lvl2-010,lvl1-004,lvl2-011,lvl3-060,lvl3-061,lvl3-062,lvl3-063,lvl3-064,lvl3-065,lvl2-012,lvl3-067,lvl3-068,lvl3-069,lvl3-070,lvl3-071,lvl3-072,lvl3-073,lvl3-074,lvl3-075,lvl2-013,lvl3-066,lvl3-076,lvl3-077,lvl3-078,lvl3-079,lvl3-080,lvl3-081,lvl3-082,lvl3-083,lvl2-014,lvl3-084,lvl3-085,lvl3-086,lvl3-087,lvl3-088,lvl3-089,lvl2-015,lvl3-090,lvl3-091,lvl3-092,lvl3-093,lvl3-094,lvl3-095,lvl3-096,lvl3-097,lvl3-098,lvl3-099,lvl3-100,lvl3-101,lvl3-102,lvl3-103,lvl3-104,lvl3-105,lvl3-106,lvl3-107,lvl3-108,lvl2-016,lvl3-109,lvl3-110,lvl3-111,lvl3-112,lvl3-113,lvl3-114,lvl3-115
Marine_Scotland_FishDAC_1757,6176,MEDIN Sample,Scottish Government (Marine Scotland),oceans,,0805C- West coast inshore acoustic survey- Clupea cruise 0805,"north minch, skye, inshore, west coast lochs,acoustic survey, seabat 6012","12 daily folder of Simrad format (.ek5)acoustic data . CTD data for 39 vertical dips. minilogger data for 10 deployments. 11 surface light level files. Objectives:1.To carry out detailed acoustic surveys in selected lochs and bays on the mainland side of the North Minch and southern Skye using the EK 500 and SEABAT to determine the distribution and abundance of juvenile herring and sprat. Concentrations of pelagic fish will be sampled using the PT154. Species composition and length-frequency distributions of the fish caught will be determined. Sub-samples will be weighed and otolithed to establish age-length and length-weight relationships. Herring samples will be analysed for sex, maturity, Ichthyophonus and Cryptocotyle lingua infection. Sprat samples will be analysed for Lernaeenicus sprattae, L. encrasicoli and Cryptocotyle lingua infection. Stomach samples will also be taken from both herring and sprat.2.For each haul from which stomachs are taken a vertical plankton net dip will be carried out.3.A series of CTDs will be carried out through each loch and bay sampled. Survey Areas:Summer Isles area/Little Loch Broom; Lochs Hourn, Kishorn, Nevis; the west of Mull including Lochs Tuath, na Keal and Scridain.","Staff joined the Clupea in Fraserburgh on 3 June 2005, from where she sailed at 1600. She arrived in Loch Broom around midday on 4 June where an acoustic calibration was performed prior to beginning transecting. Clupea steamed to the start of the Summer Isles area transects, inside Isle Martin, on the morning of 5 June to begin acoustic transecting and pelagic trawling. Transecting and trawling continued all day in the open water area. The following day, 6 June, transecting and trawling was carried out in Little Loch Broom, and then Clupea returned to the open water area and continued transecting for the rest of the day. On 7 and 8 June, transecting and trawling in the open water of the Summer Isles area then continued. A naval exercise in the area prevented a trawl from being carried out on marks in the outer area surveyed. Clupea moved down the Loch Hourn on the morning of 9 June and worked there for the day. She then headed up to Kyle for the night to take on water and receive some supplies from Aberdeen. Transecting continued in Loch Hourn in the morning of 10 June, then Clupea moved round to Loch Nevis to begin work there. Work continued in Loch Nevis in the morning of 11 June until around 1030. Clupea then steamed down to Mull to begin work in that area. Work began in Loch Tuath around 1400 and continued for the rest of the day there. On the morning of 12 June the last piece of work in Loch Tuath was completed and transecting began in the open water to the west of Mull. The open water transects continued until the entrance to Loch na Keal was reached in mid-afternoon. Transecting began there at around 1600 and continued to the end of the working day. Work in Loch na Keal continued on the morning of 13 June. The decision was made to then work in Loch Scridain as the weather was considered to be too poor to continue the Mull open water transects and the forecast for the following day was fair. Transecting and trawling was then carried out in Loch Scridain for the rest of that day and work was completed by 1000 on 14 June. Clupea then moved back to the Mull open water transects and completed work there by 1600. Breakdown of the sonar meant that two of the transects going through shallow areas had to be shortened, by a distance of around 3 miles. Clupea then steamed for an overnight stop in Mallaig, to take on water. On the morning of 15 June she steamed for Loch Kishorn, where work commenced, until around 1600 when the surveying was cut short, two and a half transects away from the head of the loch. A buoy had been snagged and in the attempt to untangle the rope from the pole carrying the acoustic equipment the pole got badly bent, rendering further acoustic surveying impossible. Work finished in the loch around 1900 and Clupea steamed for Fraserburgh where she arrived at 1830 on 16 June 2005. Staff disembarked there at 1000 on 17 June, after unloading and debrief, and returned to Aberdeen by minibus.The light gauge recorded data throughout the cruise to determine ambient light levels. The mini-logger was deployed on the headline during each trawl, along with the Scanmar sensors. In each area and loch a CTD was carried out at the centre point of each tow. A number of CTD dips were then carried out through each loch to determine vertical structure throughout.In the Summer Isles area (including Little Loch Broom) four pelagic tows and nine CTD deployments were carried out; in Loch Hourn there were two pelagic tows and five CTD deployments; in Loch Kishorn, one pelagic tow and five CTD deployments; in Loch Nevis, zero pelagic tows and five CTD deployments and in the Mull area three pelagic tows and 16 CTD deployments were carried out. The time and position data for these tows and CTDs are in Tables 1 and 3 respectively. All areas were characterised by a lack of fish and an abundance of jellyfish, both coelenterates (primarily Aurelia aurita and Cyanea capillata) and ctenophores (most likely Pleurobrachia pileus). In 7 of the 10 hauls, jellyfish comprised more than 98% of the catch (Table 2). In only 1 haul (off the west coast of Mull) were fish the dominant component of the catch (85%). Many of the fish were young-of-the-year and have been retained for identification.",Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,NE Sample,Natural England,society ,settlements; urban areas; rural areas; maps and mapping; geographic information,1 class settlement morphology,,Rural and Urban Definitions Grid showing settlement classification,,,Basemap,Y,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
2,2,NE Sample,Kingswood MapMechanics,society ,gazetteer,1:200 000 Place Name Gazetteer,,"Small-scale gazetteer with over 31,500 named point locations including towns and settlements, historic paces of interest, golf courses, view points and many more. Enables the user to find locations around the country quickly. More accurate location finding than the OS Gazetteer, but fewer point locations.",,,Basemap,Y,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
3,3,NE Sample,Ordnance Survey,location ,maps and mapping; geographic information; rural areas; rights of way; cycleways; National Trails; recreation paths,1:25 000 Scale Colour Raster,,"Small-scale static map backdrop to overlay information, shows rights of way information, selected cycle routes and National Trail and Recreational Path routes. Fence level detail and depiction of contours make this dataset useful for analysing data in rural areas. Based on OS Explorer map series. ",,,Basemap,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
4,4,NE Sample,Ordnance Survey,location ,maps and mapping; geographic information; rural areas; rights of way; cycleways; National Trails; recreation paths,1:25 000 Scale Greyscale Raster,,"Small-scale static map backdrop to overlay information, shows rights of way information, selected cycle routes and National Trail and Recreational Path routes. Fence level detail and depiction of contours make this dataset useful for analysing data in rural areas. Based on OS Explorer map series. This generated by FME Script by NE from OS Colour Raster",,,Basemap,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
7,7,NE Sample,Ordnance Survey ,location ,atlases; geographic information; place names; place name dictionaries [note: NECV uses the term 'atlases' not 'Gazetteer'],1:250 000 Scale Gazetteer,,"Small-scale Gazetteer enabling the user to find locations around the country quickly and in one seamless file. Highly detailed containing over 250,000 names from small villages to cities as featured on the 1:50 000 Scale Colour Raster",,,Basemap,Y,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
8,8,NE Sample,Ordnance Survey,location ,maps and mapping; geographic information; transport infrastructure; roads; motorways; railways,1:250 000 Scale Greyscale - No Contours - Raster,,"Small-scale static map backdrop showing all cities, towns and many villages, as well as railways, motorways and A & B roads, enabling simple route planning. Comes with a gazetteer to help find place names and locations.Generated By NE Using FME from 1:250,000 colour",,,Basemap,Y,Y,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
9,9,NE Sample,Ordnance Survey,location ,maps and mapping; geographic information; transport infrastructure; roads; motorways; railways,1:250 000 Scale Greyscale Raster,,"Small-scale static map backdrop showing all cities, towns and many villages, as well as railways, motorways and A & B roads, enabling simple route planning. Comes with a gazetteer to help find place names and locations.Generated By NE Using FME from 1:250,000 colour",,,Basemap,Y,Y,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
10,10,NE Sample,British Geological Survey (BGS),geoscientificInformation ,bedrock; geology; maps and mapping; geographic information,1:250 000 Solid Geology,DiGMap-GB 250 onshore geology map data at 1:250 000 scale for GB,"Data identifying landscape areas (shown as polygons) attributed with geological names. The scale of the data is 1:250 000 scale providing a generalised geology. Onshore coverage is provided for all of England, Wales, Scotland and the Isle of Man. Data are supplied as two themes: bedrock and linear features (faults), there is no superficial, mass movement or artificial theme available onshore at this scale. Bedrock geology describes the main mass of solid rocks forming the earth's crust. Bedrock is present everywhere, whether exposed at surface in outcrops or concealed beneath superficial deposits or water bodies. Geological names are based on the lithostratigraphic or lithodemic hierarchy. This means rock bodies are arranged into units based on rock-type and geological time of formation. Where rock-types do not fit into the lithostratigraphic scheme, for example intrusive, deformed rocks subjected to heat and pressure resulting in new or changed rock types; then their classification is based on their rock-type or lithological composition. This assesses visible features such as texture, structure, mineralogy. Data identifying linear features (shown as polylines) represent geological faults at the ground or bedrock surface (beneath superficial deposits). Geological faults occur where a body of bedrock has been fractured and displaced by large scale processes affecting the earth's crust (tectonic forces). The faults theme defines geological faults (shown as polylines) at the ground or bedrock surface (beneath superficial deposits). The data are available in vector format (containing the geometry of each feature linked to a database record describing their attributes) as ESRI shapefiles and are available under BGS data licence.",Generalised digital geological map data based on BGS's Universal Transverse Mercator (UTM) series of 1:250 000 scale maps reclassified with lithostratigraphic nomenclature. Mostly published between 1977 and 1993.,,Reviewed,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,NE Sample,British Geological Survey (BGS),geoscientificInformation ,bedrock; geology; maps and mapping; geographic information,1:250 000 Solid Geology Offshore,DiGMap-GB 250 offshore geology map data at 1:250 000 scale for GB,"Data identifying landscape areas (shown as polygons) attributed with geological names. The scale of the data is 1:250 000 scale providing a generalised geology. Onshore coverage is provided for all of England, Wales, Scotland and the Isle of Man. Data are supplied as two themes: bedrock and linear features (faults), there is no superficial, mass movement or artificial theme available onshore at this scale. Bedrock geology describes the main mass of solid rocks forming the earth's crust. Bedrock is present everywhere, whether exposed at surface in outcrops or concealed beneath superficial deposits or water bodies. Geological names are based on the lithostratigraphic or lithodemic hierarchy. This means rock bodies are arranged into units based on rock-type and geological time of formation. Where rock-types do not fit into the lithostratigraphic scheme, for example intrusive, deformed rocks subjected to heat and pressure resulting in new or changed rock types; then their classification is based on their rock-type or lithological composition. This assesses visible features such as texture, structure, mineralogy. Data identifying linear features (shown as polylines) represent geological faults at the ground or bedrock surface (beneath superficial deposits). Geological faults occur where a body of bedrock has been fractured and displaced by large scale processes affecting the earth's crust (tectonic forces). The faults theme defines geological faults (shown as polylines) at the ground or bedrock surface (beneath superficial deposits). The data are available in vector format (containing the geometry of each feature linked to a database record describing their attributes) as ESRI shapefiles and are available under BGS data licence.",,,Reviewed,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
